"species","seedheads","lma","fwc","lwr"
"venusta",87,0.02940506,1.403100775,2.534059946
"punctata",30,0.027188297,1.238938053,2.426014701
"punctata",26,0.028557784,1.036789298,2.427276651
"punctata",37,0.027820629,1.240917782,2.103869654
"punctata",70,0.027536426,0.961165049,2.613599568
"punctata",17,0.025616758,1.357142857,2.007214555
"punctata",37,0.02968982,1.215789474,2.18925739
"punctata",17,0.027189124,1.084558824,2.836355394
"punctata",15,0.02340145,1.218309859,2.601348671
"punctata",10,0.030117683,1.172236504,1.83360416
"punctata",25,0.026007919,1.197231834,2.418106996
"venusta",15,0.021210231,1.779411765,2.547864507
"punctata",17,0.024324861,1.126530612,2.040871935
"punctata",5,0.026126126,1.204433498,2.54950495
"punctata",29,0.023957533,1.21574344,2.246870654
"punctata",14,0.029811459,1.1724846,1.984516506
"punctata",25,0.025946518,1.112244898,2.057641634
"punctata",12,0.0273541,1.138743455,2.308844011
"punctata",18,0.027151211,1.123076923,2.468043648
"punctata",17,0.032701822,1.17896679,2.117289869
"punctata",5,0.029310646,1.172962227,2.210443536
"venusta",68,0.027218098,1.480519481,2.805743243
"punctata",5,0.023972988,1.213615023,1.971035274
"punctata",5,0.0320351,1.127579737,2.724257084
"punctata",59,0.02908046,0.964426877,2.008182601
"punctata",28,0.027240461,0.996742671,1.77382986
"punctata",24,0.025961281,1.140893471,2.368483884
"punctata",12,0.025940505,1.139303483,2.015629984
"punctata",19,0.028300383,1.112676056,1.974679382
"venusta",9,0.019055745,1.850746269,2.037677579
"punctata",6,0.026726447,1.180827887,2.482816712
"punctata",27,0.028758476,1.062330623,2.489134579
"punctata",21,0.024759131,1.185520362,2.223136915
"punctata",27,0.028365019,1.26541555,2.160126139
"punctata",109,0.026182523,1.172839506,1.83810241
"punctata",43,0.02982223,1.061281337,2.32695913
"punctata",12,0.026471403,1.143106457,1.986824769
"punctata",97,0.028645833,1.080808081,1.680144404
"punctata",29,0.030645161,1.015789474,2.377368421
"punctata",10,0.028976675,1.141491396,2.578129952
"punctata",75,0.032751914,1.103448276,2.119058003
"punctata",11,0.032386093,1.132352941,3.313559322
"punctata",65,0.034492428,1.149051491,2.19581233
"punctata",29,0.02956044,1.252788104,2.274193548
"venusta",136,0.020775878,1.628318584,2.367174281
"punctata",28,0.03031766,1.057324841,2.246394231
"punctata",431,0.02914465,1.317280453,2.734513274
"venusta",54,0.020121666,1.802325581,2.410942249
"punctata",41,0.025721728,1.198312236,2.446153846
"venusta",2,0.030110159,1.495934959,2.815425181
"venusta",9,0.022928399,1.649122807,4.496511628
"venusta",4,0.0268757,1.491666667,2.749227918
"punctata",26,0.030972369,1.184210526,2.319465082
"punctata",107,0.032791365,0.995833333,2.127107062
"punctata",62,0.02823039,1.265100671,2.101043997
"punctata",11,0.027341929,1.085227273,2.957044674
"punctata",53,0.037985136,0.968944099,2.398370303
"punctata",48,0.032390199,1.140515222,2.034013605
"punctata",107,0.031975329,1.096446701,2.794698252
"punctata",35,0.030014698,1.296391753,2.340643275
"venusta",161,0.028493894,1.466666667,4.005323194
"punctata",89,0.029733164,1.158119658,2.486568677
"venusta",0,0.020842018,1.66,3.238229755
"punctata",52,0.031359551,1.006097561,2.360254692
"punctata",47,0.029473284,1.178494624,2.541955617
"venusta",27,0.027274981,1.618181818,2.942740286
"punctata",119,0.027676426,1.234726688,2.286894923
"punctata",3,0.031918819,1.228323699,2.510358566
"venusta",86,0.026213301,1.628571429,3.423011844
"punctata",75,0.025709695,1.181547619,1.767419962
"punctata",0,0.029149378,1.049822064,2.438401319
"punctata",95,0.027843494,1.137254902,2.314269209
"venusta",5,0.03070761,1.380434783,3.341501976
"venusta",25,0.029000791,1.409090909,3.379362671
"punctata",17,0.027323326,1.080246914,2.58200768
"punctata",11,0.029850746,0.931372549,2.61663286
"venusta",0,0.032562125,1.421052632,2.782581841
"venusta",69,0.022571544,1.714285714,2.636585366
"venusta",0,0.029946823,1.485981308,2.547422024
"punctata",48,0.035787807,1.079646018,1.728498651
"venusta",19,0.036671368,1.415384615,2.828103683
"venusta",64,0.029812606,1.242857143,2.991047449
"venusta",83,0.030531474,1.419753086,3.30438675
"venusta",0,0.020431991,1.628571429,3.252325581
"venusta",6,0.032612313,1.346938776,3.395129615
"punctata",46,0.030725915,1.059760956,2.171093267
"punctata",202,0.025459349,1.103773585,2.198194325
"venusta",30,0.033999232,1.073446328,2.850525015
"venusta",19,0.03479942,1.340277778,2.964444444
"punctata",17,0.037022694,0.926778243,2.04473161
"venusta",8,0.038173386,0.943925234,3.690587139
"venusta",56,0.029402565,1.468085106,2.353162179
"venusta",3,0.031233172,1.232758621,3.122986823
"venusta",10,0.028263795,1.396825397,3.221413721
"punctata",6,0.024467873,1.105691057,2.728615385
"punctata",8,0.028629292,1.080385852,1.884077736
"venusta",2,0.026925013,1.308411215,3.368995633
"venusta",0,0.023371565,1.657407407,2.448587571
"punctata",2,0.025994951,1.262396694,2.267688022
"punctata",59,0.025857611,1.206666667,2.583745195
"venusta",4,0.028216467,1.462686567,2.743986254
"venusta",14,0.023307711,1.542553191,2.895705521
"venusta",77,0.025755324,1.528846154,2.876149601
"venusta",36,0.022592593,1.573770492,2.914037855
"punctata",25,0.029681054,1.152542373,2.451923077
"venusta",0,0.031185031,1.25,3.070892979
"punctata",14,0.031602709,1.029411765,2.136643234
"punctata",181,0.028688168,1.181818182,2.337994407
"venusta",31,0.033641161,1.235294118,2.678195489
"venusta",44,0.030740276,1.326530612,2.542160738
"venusta",3,0.030451332,1.071428571,3.774680604
"venusta",6,0.033067729,1.307228916,2.901680149
"punctata",108,0.027614187,1.170616114,2.428504233
"venusta",34,0.028834203,1.534482759,3.311050477
"punctata",105,0.039461203,1.057692308,2.500401606
"venusta",12,0.033788641,1.425531915,2.419910657
"venusta",38,0.032711924,1.376344086,3.16091954
"venusta",64,0.021980565,1.715789474,2.764822134
"venusta",52,0.026315789,1.142857143,2.950760967
"venusta",2,0.028711485,1.426829268,3.428186715
"punctata",51,0.022529644,1.081871345,1.886742757
"punctata",1,0.036218761,0.953333333,2.703758655
"punctata",9,0.03218318,1.059016393,2.593174674
"venusta",2,0.029044347,1.462365591,2.75
"venusta",80,0.030483764,1.554347826,2.549450549
"venusta",4,0.022645394,1.545454545,3.728323699
"venusta",0,0.029930163,1.577777778,2.501764291
"venusta",50,0.028952206,1.69047619,2.993630573
"venusta",0,0.02027575,1.92,3.075524476
"venusta",0,0.024242424,1.473684211,3.472422062
"venusta",1,0.031412376,1.563909774,2.649230769
"punctata",630,0.031240038,1.017006803,2.256734007
"venusta",45,0.022435148,1.697916667,2.872367581
"punctata",50,0.027017975,1.08677686,1.784828592
"venusta",82,0.025920873,1.663157895,3.197202797
"punctata",0,0.026682135,1.245059289,1.676646707
"venusta",22,0.036252546,1.280898876,3.570621469
"punctata",25,0.032485359,1.064788732,2.596550273
"venusta",0,0.019047619,1.95,2.787253142
"punctata",13,0.030753968,1.146401985,2.145531614
"venusta",0,0.025794565,1.553571429,2.831114809
"punctata",30,0.028977431,1.211538462,1.615354789
"venusta",28,0.026885395,1.652542373,2.910447761
"punctata",16,0.029966497,1.281573499,2.436817473
"punctata",6,0.029043565,1.25862069,2.567449956
"venusta",0,0.021677419,1.619047619,2.836979534
"punctata",52,0.024400648,1.807692308,2.504743083
